# MEAN_SAMPLE_SIZE = 26052
# TOTAL_GENES = 16076
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE        TYPE  NGENES         BETA     BETA_STD           SE            P
Cluster217     COVAR   16076       9.8922     0.011905       6.0508     0.051051
Cluster218     COVAR   16076       4.6481    0.0072827       4.4586       0.1486
Cluster219     COVAR   16076       4.0588    0.0054492       5.3006      0.22193
Cluster22      COVAR   16076      0.25176    0.0013849       1.2365      0.41933
Cluster220     COVAR   16076       2.4069    0.0036932       4.6822      0.30361
Cluster221     COVAR   16076     -0.73776   -0.0013665       3.8771      0.57546
Cluster222     COVAR   16076       1.2482    0.0022778       3.8843      0.37398
Cluster223     COVAR   16076      -2.0205   -0.0036079       3.8181      0.70166
Cluster224     COVAR   16076       1.6285    0.0023159       4.9871      0.37201
Cluster225     COVAR   16076       1.8475    0.0029036       4.4817      0.34008
Cluster226     COVAR   16076       3.7802    0.0052406       5.1569      0.23177
Cluster227     COVAR   16076       5.1937    0.0076481       4.8017      0.13972
Cluster228     COVAR   16076       8.3288     0.010638       5.6197     0.069171
Cluster229     COVAR   16076        6.165    0.0085125       5.0627      0.11167
Cluster23      COVAR   16076       1.7277    0.0090484        1.319     0.095134
Cluster230     COVAR   16076       8.8574     0.011811       5.3948     0.050323
Cluster231     COVAR   16076       9.9962     0.013394        5.334     0.030471
Cluster232     COVAR   16076        4.012    0.0054881       5.2368      0.22181
Cluster233     COVAR   16076       8.9598     0.012028       5.4991     0.051634
Cluster234     COVAR   16076       10.754     0.013408       5.7895     0.031631
Cluster235     COVAR   16076      -1.7233   -0.0042467       2.6836      0.73961
Cluster236     COVAR   16076       4.8061    0.0072154       4.7867      0.15768
Cluster237     COVAR   16076       8.9437     0.011338       5.6825     0.057767
Cluster238     COVAR   16076       4.7256    0.0067346        5.018      0.17317
Cluster239     COVAR   16076       6.8216    0.0091181       5.3708      0.10203
Cluster24      COVAR   16076    -0.064717  -0.00039964        1.121      0.52302
Cluster240     COVAR   16076       6.1466    0.0081807       5.3441      0.12505
Cluster241     COVAR   16076       10.031     0.014879       4.8449     0.019218
Cluster242     COVAR   16076       11.933     0.015382       5.5996     0.016548
Cluster243     COVAR   16076       8.1654     0.011664       5.1034     0.054812
