# TOTAL_GENES = 16361
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE        TYPE  NGENES         BETA     BETA_STD           SE            P
Cluster26      COVAR   16361       -4.674    -0.023299       1.7513      0.99619
Cluster260     COVAR   16361         16.8      0.02354       6.5029    0.0048954
Cluster261     COVAR   16361       7.9234     0.011472       6.2389      0.10205
Cluster262     COVAR   16361       21.525     0.028732       6.7251   0.00068684
Cluster263     COVAR   16361       12.998     0.018625       6.2819     0.019278
Cluster264     COVAR   16361       15.764     0.023097        6.063    0.0046667
Cluster265     COVAR   16361       15.793     0.024374        5.917    0.0038078
Cluster266     COVAR   16361       14.413     0.021055       6.0369    0.0084878
Cluster267     COVAR   16361       16.387     0.023601       6.3022    0.0046628
Cluster268     COVAR   16361       20.786     0.030792        6.207   0.00040681
Cluster269     COVAR   16361       27.233     0.035942       6.8907   3.8931e-05
Cluster27      COVAR   16361      -5.8104    -0.026544       1.9164      0.99878
Cluster270     COVAR   16361       20.703     0.031249       6.0135    0.0002888
Cluster271     COVAR   16361       24.296     0.034877       6.3623   6.7372e-05
Cluster272     COVAR   16361       21.891     0.039558       5.1695   1.1522e-05
Cluster273     COVAR   16361       31.177     0.041667       6.8482   2.6718e-06
Cluster274     COVAR   16361       21.668     0.031614       6.1935   0.00023468
Cluster275     COVAR   16361       25.399     0.038146       6.0701   1.4397e-05
Cluster276     COVAR   16361       10.612     0.016809       5.5016     0.026886
Cluster277     COVAR   16361       17.459     0.027517        5.534    0.0008044
Cluster278     COVAR   16361       21.053     0.030573       6.0709   0.00026305
Cluster279     COVAR   16361       10.205     0.015903       5.7348     0.037593
Cluster28      COVAR   16361      -3.9062    -0.023249       1.4414      0.99663
Cluster280     COVAR   16361       20.863     0.029129       6.4148   0.00057363
Cluster281     COVAR   16361       16.131     0.029858       4.9311   0.00053651
Cluster282     COVAR   16361        5.652     0.010958       4.5802      0.10861
Cluster283     COVAR   16361       30.471      0.04158       6.6773   2.5386e-06
