# MEAN_SAMPLE_SIZE = 26052
# TOTAL_GENES = 16076
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE        TYPE  NGENES         BETA     BETA_STD           SE            P
Cluster289     COVAR   16076       2.9988    0.0052207       4.3015      0.24285
Cluster29      COVAR   16076      0.85213    0.0063209      0.93904      0.18209
Cluster290     COVAR   16076       5.8584    0.0091321        4.814      0.11182
Cluster291     COVAR   16076    -0.071422  -0.00010378       5.1253      0.50556
Cluster292     COVAR   16076     -0.98295    -0.001494       4.9408      0.57885
Cluster293     COVAR   16076        4.307    0.0084629       3.6511      0.11908
Cluster294     COVAR   16076       2.4026    0.0034247       5.3808      0.32762
Cluster295     COVAR   16076     -0.33245  -0.00060991       4.1003      0.53231
Cluster296     COVAR   16076       2.4677    0.0039319       4.6713      0.29866
Cluster297     COVAR   16076      0.08976   0.00079934      0.74681      0.45217
Cluster298     COVAR   16076       -1.128   -0.0023602       3.5281       0.6254
Cluster299     COVAR   16076       1.8744    0.0036925       3.7988      0.31086
Cluster3       COVAR   16076     -0.16387   -0.0024905       0.4806      0.63343
Cluster30      COVAR   16076        1.414    0.0066944       1.4824      0.17009
Cluster300     COVAR   16076       1.5666     0.003664       3.1093      0.30719
Cluster301     COVAR   16076      -6.9606    -0.015696        3.207        0.985
Cluster302     COVAR   16076      -1.6804   -0.0053247       2.2243      0.77501
Cluster303     COVAR   16076      -3.5276    -0.010897       2.3328      0.93475
Cluster304     COVAR   16076      -2.3098   -0.0056417       2.9325      0.78455
Cluster305     COVAR   16076     -0.21443  -0.00054181       2.8693      0.52979
Cluster306     COVAR   16076       -2.167   -0.0047155       3.2585      0.74698
Cluster307     COVAR   16076      -2.1221   -0.0043349       3.4498      0.73076
Cluster308     COVAR   16076      -2.5094   -0.0064365       2.8926      0.80716
Cluster309     COVAR   16076      -4.1808   -0.0084692       3.7685      0.86636
Cluster31      COVAR   16076      -0.1361  -0.00087363          1.1      0.54923
