# MEAN_SAMPLE_SIZE = 51090
# TOTAL_GENES = 16327
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE        TYPE  NGENES         BETA     BETA_STD           SE            P
Cluster275     COVAR   16327       11.843      0.01779       5.3232     0.013057
Cluster276     COVAR   16327       6.1518    0.0097516       4.9114       0.1052
Cluster277     COVAR   16327       11.204     0.017641       4.9826     0.012278
Cluster278     COVAR   16327       18.212     0.026464       5.5277   0.00049396
Cluster279     COVAR   16327       5.1597    0.0082153       4.9515      0.14871
Cluster28      COVAR   16327      0.10577   0.00062966       1.2855      0.46721
Cluster280     COVAR   16327       8.1734     0.012853       5.0068     0.051304
Cluster281     COVAR   16327       1.4381    0.0026643       4.2572      0.36775
Cluster282     COVAR   16327       9.1488     0.017754       4.0836     0.012541
Cluster283     COVAR   16327       16.893     0.023066       5.8026    0.0018025
Cluster284     COVAR   16327       9.6886     0.014107       5.4403     0.037476
Cluster285     COVAR   16327       12.457      0.01796       5.4712     0.011404
Cluster286     COVAR   16327       19.473     0.027776       5.6649   0.00029453
Cluster287     COVAR   16327       13.468       0.0221       4.9145    0.0030713
Cluster288     COVAR   16327        16.48     0.023234       5.7112    0.0019572
Cluster289     COVAR   16327       10.427     0.018286       4.5476     0.010936
Cluster29      COVAR   16327      0.13609    0.0010102       1.0297      0.44743
Cluster290     COVAR   16327       13.835      0.02182       5.0955    0.0033169
Cluster291     COVAR   16327       12.622     0.018157       5.5762     0.011809
Cluster292     COVAR   16327       11.751     0.017808       5.2923     0.013204
Cluster293     COVAR   16327       14.565     0.024438       4.8403    0.0013123
Cluster294     COVAR   16327       11.175     0.015922       5.6284     0.023552
Cluster295     COVAR   16327       12.714      0.02361       4.3013    0.0015618
Cluster296     COVAR   16327       14.834     0.023675       4.8087    0.0010206
Cluster297     COVAR   16327      0.10895    0.0009891      0.84007      0.44841
Cluster298     COVAR   16327        6.938     0.014382       3.8461     0.035633
Cluster299     COVAR   16327       7.9416     0.015579        4.063     0.025325
Cluster3       COVAR   16327     -0.93601    -0.014239       0.5183      0.96452
Cluster30      COVAR   16327      -1.6561   -0.0078004       1.6069      0.84864
Cluster300     COVAR   16327       5.9098     0.013631        3.429     0.042414
Cluster301     COVAR   16327       3.5934    0.0082514       3.3903      0.14461
Cluster302     COVAR   16327       1.4728    0.0046572       2.4734      0.27578
Cluster303     COVAR   16327       1.3996    0.0042803       2.5087      0.28846
Cluster304     COVAR   16327       1.7721    0.0042913       3.2501       0.2928
