# MEAN_SAMPLE_SIZE = 57513
# TOTAL_GENES = 16333
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE        TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
Cluster108     COVAR     81   16333       27.397     0.035099       7.5126    0.0001333
Cluster286     COVAR     81   16333       42.109     0.060049       6.8174   3.3692e-10
Cluster108     COVAR     82   16333       28.989     0.037139       7.4966   5.5358e-05
Cluster287     COVAR     82   16333       31.364     0.051455       5.8155   3.5198e-08
Cluster108     COVAR     83   16333       25.836       0.0331       7.5205   0.00029669
Cluster288     COVAR     83   16333       50.058     0.070567        7.035   5.8612e-13
Cluster108     COVAR     84   16333       31.476     0.040325        7.458   1.2274e-05
Cluster289     COVAR     84   16333       25.867     0.045347       5.3729   7.4632e-07
Cluster108     COVAR     85   16333       30.985     0.039696       7.4592   1.6447e-05
Cluster290     COVAR     85   16333       32.411     0.051178         6.05   4.2986e-08
Cluster108     COVAR     86   16333       31.349     0.040163       7.4644   1.3441e-05
Cluster291     COVAR     86   16333       29.207     0.042068       6.5308   3.9041e-06
Cluster108     COVAR     87   16333       30.799     0.039458       7.4692    1.877e-05
Cluster292     COVAR     87   16333       31.255     0.046204       6.4546   6.4945e-07
Cluster108     COVAR     88   16333       31.436     0.040274       7.4525   1.2398e-05
Cluster293     COVAR     88   16333       31.973     0.051492        5.895   2.9696e-08
Cluster108     COVAR     89   16333       29.813     0.038194       7.4666   3.2828e-05
Cluster294     COVAR     89   16333       41.652     0.058194       6.7789   4.1319e-10
Cluster108     COVAR     90   16333        32.32     0.041406       7.4455   7.1503e-06
Cluster295     COVAR     90   16333       27.662     0.048028        5.445   1.9115e-07
Cluster108     COVAR     91   16333       30.041     0.038487       7.4621   2.8547e-05
Cluster296     COVAR     91   16333        37.75     0.058447       6.0539   2.3186e-10
Cluster108     COVAR     92   16333       32.218     0.041276       7.4608    7.917e-06
Cluster389     COVAR     92   16333       21.621     0.032214       6.2037   0.00024665
Cluster108     COVAR     93   16333       31.339     0.040149       7.4586   1.3335e-05
Cluster403     COVAR     93   16333       25.248     0.045854       5.1053   3.8452e-07
Cluster108     COVAR     94   16333        25.48     0.032644       7.7104   0.00047678
Cluster404     COVAR     94   16333       32.743     0.037963       7.6936   1.0482e-05
Cluster108     COVAR     95   16333       23.888     0.030603       7.9411    0.0013169
Cluster405     COVAR     95   16333         30.3     0.036542       8.2278   0.00011588
Cluster108     COVAR     96   16333       29.597     0.037918       7.5689   4.6312e-05
Cluster407     COVAR     96   16333       23.755     0.030485       7.2881   0.00055965
Cluster108     COVAR     97   16333       28.563     0.036593       7.5445   7.6918e-05
Cluster423     COVAR     97   16333       36.743     0.040857       8.3329   5.2246e-06
Cluster108     COVAR     98   16333       29.635     0.037967       7.5106   3.9988e-05
Cluster424     COVAR     98   16333       34.908     0.040474        8.068   7.6216e-06
Cluster108     COVAR     99   16333       26.833     0.034377       7.6509   0.00022719
Cluster426     COVAR     99   16333       35.212     0.038841       8.6426   2.3219e-05
Cluster108     COVAR    100   16333       30.492     0.039065       7.5131   2.4829e-05
