# TOTAL_GENES = 16076
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE        TYPE  NGENES         BETA     BETA_STD           SE            P
Cluster287     COVAR   16076       4.9927    0.0082499       4.4489      0.13089
Cluster288     COVAR   16076        4.619    0.0065453       5.3286      0.19302
Cluster289     COVAR   16076       7.2386     0.012602       4.2661     0.044879
Cluster29      COVAR   16076     -0.38213   -0.0028346      0.93876      0.65801
Cluster290     COVAR   16076       10.023     0.015624       4.8298     0.018992
Cluster291     COVAR   16076       7.1471     0.010385       5.0792     0.079705
Cluster292     COVAR   16076       6.6982      0.01018       4.9126     0.086378
Cluster293     COVAR   16076       9.2761     0.018227       3.6745    0.0057998
Cluster294     COVAR   16076       17.654     0.025165       5.3386   0.00047282
Cluster295     COVAR   16076       11.572      0.02123       4.0751    0.0022614
Cluster296     COVAR   16076       6.4991     0.010355       4.6299     0.080212
Cluster297     COVAR   16076     -0.93883   -0.0083605       0.7401      0.89768
Cluster298     COVAR   16076      -3.2265   -0.0067512       3.4824       0.8229
Cluster299     COVAR   16076     -0.60886   -0.0011994       3.7639      0.56425
Cluster3       COVAR   16076     -0.32649   -0.0049621      0.47787      0.75276
Cluster30      COVAR   16076      0.76588    0.0036259       1.4707      0.30127
Cluster300     COVAR   16076     -0.53955   -0.0012619        3.072      0.56971
Cluster301     COVAR   16076       2.9234    0.0065924       3.1772      0.17877
Cluster302     COVAR   16076      -3.3937    -0.010753       2.2049      0.93811
Cluster303     COVAR   16076      -2.0152   -0.0062249       2.3092      0.80858
Cluster304     COVAR   16076      -1.3924   -0.0034008       2.8998      0.68444
Cluster305     COVAR   16076      -1.7584   -0.0044431       2.8447      0.73176
Cluster306     COVAR   16076       -1.578   -0.0034339       3.2217      0.68786
Cluster307     COVAR   16076      -2.8463   -0.0058142       3.4316      0.79656
Cluster308     COVAR   16076      -2.2619   -0.0058016        2.863      0.78524
Cluster309     COVAR   16076      -1.1762   -0.0023827       3.7292      0.62377
Cluster31      COVAR   16076      0.10805   0.00069357       1.0944      0.46068
Cluster310     COVAR   16076       2.9448    0.0073561       3.0534      0.16742
Cluster311     COVAR   16076       2.4794    0.0073649       2.5514      0.16559
Cluster312     COVAR   16076       1.1203    0.0036194       2.4148      0.32135
Cluster313     COVAR   16076    -0.083544  -0.00029914        1.964      0.51696
Cluster314     COVAR   16076    -0.023543  -0.00013969       1.1768      0.50798
Cluster315     COVAR   16076       2.1248    0.0040143       3.8297      0.28951
Cluster316     COVAR   16076       7.4087     0.020024       2.7528    0.0035632
Cluster317     COVAR   16076       1.9108    0.0047286        3.109      0.26941
Cluster318     COVAR   16076        2.376    0.0051944       3.3795      0.24102
Cluster319     COVAR   16076     -0.10231  -0.00021802        3.447      0.51184
Cluster32      COVAR   16076      0.62336    0.0017925        2.648      0.40695
Cluster320     COVAR   16076     -0.51718   -0.0012282       3.1609      0.56498
Cluster321     COVAR   16076        1.501    0.0029863       3.6703      0.34129
Cluster322     COVAR   16076     -0.22416     -0.00062       2.6205      0.53408
Cluster323     COVAR   16076       -1.335   -0.0025522       3.8087      0.63702
Cluster324     COVAR   16076      -3.8886   -0.0074964       3.8479      0.84388
Cluster325     COVAR   16076       -3.594   -0.0067124       3.9969      0.81572
Cluster326     COVAR   16076      -4.2371   -0.0081629       3.9135      0.86052
Cluster327     COVAR   16076      -3.9644   -0.0067819       4.3029      0.82155
Cluster328     COVAR   16076      -4.9431   -0.0084779       4.2456      0.87784
Cluster329     COVAR   16076      -4.0069    -0.006101       4.8625      0.79503
Cluster33      COVAR   16076      0.54781    0.0013937        2.916      0.42549
Cluster330     COVAR   16076      -4.6508   -0.0086442       3.8685      0.88535
Cluster331     COVAR   16076       3.9231    0.0069234       4.0814      0.16823
Cluster332     COVAR   16076      -1.4069   -0.0022795       4.5829      0.62057
Cluster333     COVAR   16076      -2.8089   -0.0059144       3.5688      0.78437
Cluster334     COVAR   16076      0.46703    0.0015279       2.3567      0.42146
Cluster335     COVAR   16076       -2.099   -0.0058483       2.6411      0.78662
Cluster336     COVAR   16076      0.55418    0.0014582       2.7831      0.42108
Cluster337     COVAR   16076      -3.9059     -0.01015        2.736      0.92328
Cluster338     COVAR   16076       1.7206     0.004513        2.955      0.28019
Cluster339     COVAR   16076       4.6859    0.0080472       4.0805      0.12542
Cluster34      COVAR   16076      0.30922   0.00075356       2.9876      0.45878
Cluster340     COVAR   16076       2.5207     0.006083       2.9867      0.19935
Cluster341     COVAR   16076      -1.1157   -0.0024331       3.1321      0.63916
Cluster342     COVAR   16076        1.092    0.0030208       2.7549      0.34591
Cluster343     COVAR   16076      0.40338    0.0011698       2.6428      0.43934
Cluster344     COVAR   16076       4.5109    0.0093891       3.8767       0.1223
Cluster345     COVAR   16076      0.49848    0.0014021       2.7588      0.42831
Cluster346     COVAR   16076       2.3227    0.0067668       2.5444      0.18066
Cluster347     COVAR   16076      -1.0073   -0.0020191       3.8194      0.60401
Cluster348     COVAR   16076       1.6262    0.0044591       3.0089      0.29444
Cluster349     COVAR   16076      -3.1311   -0.0063781       3.9839      0.78404
Cluster35      COVAR   16076      0.52433     0.001281       2.9848      0.43028
Cluster350     COVAR   16076      -2.3674   -0.0039918       4.5031      0.70046
Cluster351     COVAR   16076     -0.52903  -0.00093975       4.0727      0.55167
Cluster352     COVAR   16076       2.7336    0.0045629       4.4105      0.26771
Cluster353     COVAR   16076      -1.1742   -0.0020454       4.1948      0.61023
Cluster354     COVAR   16076      -1.6204   -0.0021906       5.4144      0.61763
Cluster355     COVAR   16076      0.49506   0.00060046        6.089       0.4676
Cluster356     COVAR   16076       1.4992    0.0019621       5.6365      0.39513
Cluster357     COVAR   16076      -2.7752   -0.0046716        4.407      0.73556
Cluster358     COVAR   16076       1.4704    0.0020015        5.429      0.39326
Cluster359     COVAR   16076      0.44691   0.00073629       4.4071      0.45961
Cluster36      COVAR   16076      -3.1851   -0.0080617       2.8358      0.86931
Cluster360     COVAR   16076       4.7959    0.0080388       4.4736      0.14186
Cluster361     COVAR   16076       3.4783    0.0061276       4.1385      0.20033
Cluster362     COVAR   16076      -1.9484   -0.0030253       4.6624      0.66199
Cluster363     COVAR   16076      -2.0477   -0.0042845       3.3153      0.73159
Cluster364     COVAR   16076       4.9892    0.0083988       4.1308      0.11358
Cluster365     COVAR   16076       2.2106    0.0030392       5.3126      0.33867
Cluster366     COVAR   16076      -3.2149   -0.0055967       4.2254      0.77662
Cluster367     COVAR   16076       3.9245    0.0049015       5.8576      0.25144
Cluster368     COVAR   16076       2.3916    0.0048723       3.2916      0.23375
Cluster369     COVAR   16076       1.7548    0.0023947       5.3606      0.37171
Cluster37      COVAR   16076       1.0596    0.0033618       2.2034       0.3153
Cluster370     COVAR   16076       5.7639    0.0080358       5.3883      0.14238
Cluster371     COVAR   16076       6.9298     0.013533       3.7407     0.031986
Cluster372     COVAR   16076       3.3138    0.0054212       4.5145      0.23147
Cluster373     COVAR   16076      -1.4246   -0.0023396       4.4714      0.62498
Cluster374     COVAR   16076       1.9891    0.0034254       4.2598      0.32027
Cluster375     COVAR   16076       5.8763     0.010758       3.9277     0.067326
Cluster376     COVAR   16076      -2.0576   -0.0031196       4.8362      0.66475
Cluster377     COVAR   16076      -5.4926   -0.0090482       4.3641       0.8959
Cluster378     COVAR   16076       2.2316    0.0037999       4.3659      0.30463
Cluster379     COVAR   16076      0.01746   3.2755e-05       3.7513      0.49814
Cluster38      COVAR   16076      0.46585    0.0015793       2.0815      0.41146
Cluster380     COVAR   16076      -7.3878    -0.012725       4.3145      0.95657
Cluster381     COVAR   16076      -7.3425      -0.0135       3.8649      0.97126
Cluster382     COVAR   16076       3.4778    0.0061677       4.2044      0.20407
Cluster383     COVAR   16076      -6.6606     -0.01236       3.8268       0.9591
Cluster384     COVAR   16076        1.147     0.001707        5.061      0.41036
Cluster385     COVAR   16076       4.7938    0.0065518       5.4706      0.19045
Cluster386     COVAR   16076       3.6641    0.0067974       3.9287      0.17551
Cluster387     COVAR   16076       5.3392      0.01009       3.5755     0.067694
Cluster388     COVAR   16076       3.4092    0.0066567       3.7527      0.18182
