# TOTAL_GENES = 16365
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE        TYPE  NGENES         BETA     BETA_STD           SE            P
Cluster226     COVAR   16365       6.3367    0.0087493       5.3085      0.11631
Cluster227     COVAR   16365       2.6773    0.0039219       5.0091      0.29651
Cluster228     COVAR   16365        18.47     0.023472       5.7971   0.00072287
Cluster229     COVAR   16365       8.2938     0.011542       5.3093     0.059142
Cluster23      COVAR   16365       1.6897    0.0089048       1.3165     0.099673
Cluster230     COVAR   16365        7.702     0.011724       4.7306      0.05176
Cluster231     COVAR   16365       11.647     0.015522       5.5684     0.018249
Cluster232     COVAR   16365       6.1516    0.0083696       5.4049      0.12754
Cluster233     COVAR   16365       11.567     0.015464       5.5812     0.019118
Cluster234     COVAR   16365       19.729     0.024576       5.9601   0.00046731
Cluster235     COVAR   16365      -2.4449   -0.0059565       2.9548      0.79599
Cluster236     COVAR   16365       4.7259    0.0070999       4.8909      0.16696
Cluster237     COVAR   16365       8.1086     0.010237       5.7828      0.08044
Cluster238     COVAR   16365     -0.67982  -0.00096573       5.1971      0.55204
Cluster239     COVAR   16365       10.114     0.013581       5.4684     0.032204
Cluster24      COVAR   16365     -0.48135   -0.0029617       1.1511      0.66208
Cluster240     COVAR   16365       13.448     0.017842       5.5515    0.0077147
Cluster241     COVAR   16365       10.059     0.014824       4.9679     0.021455
Cluster242     COVAR   16365       19.402      0.02489       5.7833   0.00039828
Cluster243     COVAR   16365       12.385     0.017641       5.2758    0.0094591
Cluster244     COVAR   16365       8.0084     0.011997       4.8238      0.04845
Cluster245     COVAR   16365       14.484     0.020812       5.0294    0.0019922
Cluster246     COVAR   16365       7.7106     0.013829       4.1534     0.031705
Cluster247     COVAR   16365       7.5983     0.011817       4.7549     0.055035
Cluster248     COVAR   16365       8.0019     0.011822       5.1159     0.058905
Cluster249     COVAR   16365       7.2713    0.0095578       5.6394     0.098644
Cluster25      COVAR   16365      -1.8891   -0.0092483        1.494      0.89697
Cluster250     COVAR   16365       6.4046     0.010818        4.702     0.086594
Cluster251     COVAR   16365       6.2798    0.0098282       4.8608     0.098202
Cluster252     COVAR   16365       9.0713     0.013357       5.2113      0.04088
Cluster253     COVAR   16365       10.204     0.015483       4.8911     0.018492
Cluster254     COVAR   16365       6.3488     0.011949       4.2266     0.066548
Cluster255     COVAR   16365       5.5716    0.0086812       4.7283      0.11934
Cluster256     COVAR   16365       8.9078     0.013411       4.8989      0.03452
Cluster257     COVAR   16365       10.888     0.014594       5.5813     0.025555
Cluster258     COVAR   16365       4.6156    0.0069074       5.1025      0.18285
Cluster259     COVAR   16365       12.357      0.01628       5.6956     0.015026
Cluster26      COVAR   16365      -1.2076   -0.0060155       1.4758      0.79339
Cluster260     COVAR   16365       12.151     0.017028        5.362      0.01173
Cluster261     COVAR   16365       12.302     0.017812       5.2303    0.0093418
Cluster262     COVAR   16365       15.261     0.020374        5.614    0.0032843
Cluster263     COVAR   16365       14.811     0.021218       5.2135    0.0022531
Cluster264     COVAR   16365       9.0568     0.013305       5.0965     0.037791
Cluster265     COVAR   16365       7.6784     0.011861       4.8827      0.05792
Cluster266     COVAR   16365       13.259     0.019419        4.994    0.0039691
Cluster267     COVAR   16365       8.8083     0.012712       5.1639     0.044038
Cluster268     COVAR   16365       5.9874    0.0089268        5.124      0.12131
Cluster269     COVAR   16365       7.3078    0.0096664       5.6838      0.09928
Cluster27      COVAR   16365      -2.0173    -0.009213       1.6028      0.89591
Cluster270     COVAR   16365       5.9441     0.008998       4.9897      0.11678
Cluster271     COVAR   16365       3.2303    0.0046402       5.1924      0.26694
Cluster272     COVAR   16365       4.6243     0.008358       3.9551      0.12117
Cluster273     COVAR   16365       10.925     0.014602       5.6583     0.026765
Cluster274     COVAR   16365       6.4359    0.0093925       5.1278      0.10473
Cluster275     COVAR   16365        7.618     0.011624       4.8884     0.059584
Cluster276     COVAR   16365       5.2656    0.0083508       4.6013      0.12624
Cluster277     COVAR   16365       5.2403    0.0083221       4.6912        0.132
