# TOTAL_GENES = 16361
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE        TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
Cluster123     COVAR     81   16361       27.081     0.035851       6.7349   2.9124e-05
Cluster378     COVAR     81   16361       22.619     0.038004       4.9883   2.9123e-06
Cluster123     COVAR     82   16361       26.488     0.035066       6.7396   4.2647e-05
Cluster385     COVAR     82   16361       26.629     0.036136       6.4209   1.6928e-05
Cluster123     COVAR     83   16361       26.804     0.035483       6.7387    3.499e-05
Cluster386     COVAR     83   16361       17.135     0.031576       4.6442   0.00011281
Cluster123     COVAR     84   16361       26.971     0.035706       6.7375    3.141e-05
Cluster396     COVAR     84   16361       19.561     0.033952       5.2596    0.0001004
Cluster123     COVAR     85   16361       22.363     0.029604       6.8496   0.00054899
Cluster403     COVAR     85   16361       20.148     0.036574       4.8764   1.8099e-05
Cluster123     COVAR     86   16361       18.443     0.024416       7.2624    0.0055549
Cluster405     COVAR     86   16361       25.951     0.032042       7.7612   0.00041456
Cluster123     COVAR     87   16361       28.013     0.037084       6.7353   1.6069e-05
Cluster415     COVAR     87   16361       23.272     0.038644       5.1747   3.4688e-06
Cluster123     COVAR     88   16361        26.29     0.034803       6.7445   4.8734e-05
Cluster422     COVAR     88   16361       25.176      0.03222        6.929    0.0001403
Cluster123     COVAR     89   16361       19.667     0.026035       6.9228    0.0022532
Cluster426     COVAR     89   16361       39.498     0.043607       8.0926   5.3436e-07
Cluster123     COVAR     90   16361        22.24     0.029442       6.8339   0.00056961
Cluster427     COVAR     90   16361       30.066     0.039387       6.6249   2.8596e-06
Cluster123     COVAR     91   16361       25.611     0.033905       6.7526   7.4804e-05
Cluster428     COVAR     91   16361       27.517     0.035225       6.9523   3.7977e-05
Cluster123     COVAR     92   16361       25.835     0.034201       6.7511    6.519e-05
Cluster429     COVAR     92   16361       22.602     0.033828        6.087   0.00010271
Cluster123     COVAR     93   16361       23.865     0.031593        6.838   0.00024219
Cluster430     COVAR     93   16361       17.205     0.027543       5.5211   0.00091784
Cluster132     COVAR     94   16361       32.637     0.051907       7.4377   5.7595e-06
Cluster133     COVAR     94   16361       4.8785    0.0062637       9.3496      0.30091
Cluster132     COVAR     95   16361       31.241     0.049685       5.9192   6.6328e-08
Cluster136     COVAR     95   16361       9.7658     0.017601       5.0622     0.026865
Cluster132     COVAR     96   16361       33.295     0.052952       5.5794   1.2346e-09
Cluster206     COVAR     96   16361       13.487     0.027158       4.2359   0.00072794
Cluster132     COVAR     97   16361        33.11     0.052658       5.5813   1.5299e-09
Cluster207     COVAR     97   16361       16.557     0.029468       4.9008   0.00036553
Cluster132     COVAR     98   16361       31.043      0.04937       5.6154   1.6473e-08
Cluster217     COVAR     98   16361       34.915     0.041859        7.449   1.3981e-06
Cluster132     COVAR     99   16361       32.815     0.052189       5.5723   1.9883e-09
Cluster219     COVAR     99   16361       22.803     0.038397       5.2429   6.8753e-06
Cluster132     COVAR    100   16361       33.382     0.053091       5.5782   1.1134e-09
Cluster221     COVAR    100   16361       13.943     0.025732       4.4957   0.00096461
Cluster132     COVAR    101   16361       32.575     0.051807       5.6236    3.542e-09
Cluster222     COVAR    101   16361       13.695     0.024913       4.7882    0.0021206
Cluster132     COVAR    102   16361       32.245     0.051282       5.6127   4.6944e-09
Cluster224     COVAR    102   16361       21.572     0.030525       6.2455   0.00027704
Cluster132     COVAR    103   16361       32.306      0.05138       5.5948   3.9481e-09
Cluster225     COVAR    103   16361       22.045     0.034492       5.6099   4.2745e-05
Cluster132     COVAR    104   16361       32.724     0.052044       5.5904   2.4596e-09
Cluster226     COVAR    104   16361       22.422     0.030953       6.3092   0.00019044
Cluster132     COVAR    105   16361       31.403     0.049944        5.636   1.2832e-08
Cluster228     COVAR    105   16361       26.892     0.034147       7.0804   7.3221e-05
Cluster132     COVAR    106   16361       31.147     0.049537       5.6359   1.6619e-08
Cluster229     COVAR    106   16361       26.184     0.036354       6.4697   2.6054e-05
Cluster132     COVAR    107   16361       33.137     0.052702       5.5923   1.5932e-09
Cluster230     COVAR    107   16361       16.636     0.024928        5.682    0.0017095
Cluster132     COVAR    108   16361       32.021     0.050926       5.6327   6.6792e-09
Cluster231     COVAR    108   16361       21.846     0.029109       6.7024   0.00055956
Cluster132     COVAR    109   16361       32.725     0.052045       5.6226   3.0046e-09
Cluster232     COVAR    109   16361       17.935     0.024394       6.5991    0.0032898
Cluster132     COVAR    110   16361       32.369      0.05148       5.6042   3.9099e-09
Cluster233     COVAR    110   16361       23.624     0.031456       6.6721   0.00020015
Cluster132     COVAR    111   16361       32.171     0.051164       5.5923   4.4841e-09
Cluster234     COVAR    111   16361       30.046     0.037233       7.1462   1.3167e-05
Cluster132     COVAR    112   16361       32.261     0.051308       5.6529   5.8678e-09
Cluster242     COVAR    112   16361       19.217     0.024667       7.0676    0.0032776
Cluster132     COVAR    113   16361       32.526     0.051729       5.5954   3.1361e-09
Cluster250     COVAR    113   16361       20.213     0.034141       5.5672   0.00014181
Cluster132     COVAR    114   16361       32.158     0.051144       5.6363   5.9217e-09
Cluster251     COVAR    114   16361       17.867     0.027976       5.8398    0.0011105
Cluster132     COVAR    115   16361       31.992     0.050881       5.6372   7.0646e-09
Cluster252     COVAR    115   16361       20.093     0.029669       6.2661   0.00067308
Cluster132     COVAR    116   16361       32.484     0.051663       5.6239   3.9063e-09
Cluster269     COVAR    116   16361       20.578     0.027159       6.9784    0.0015975
Cluster132     COVAR    117   16361       32.516     0.051714        5.633   3.9904e-09
Cluster271     COVAR    117   16361       17.812      0.02557       6.4534    0.0028926
Cluster132     COVAR    118   16361       32.764     0.052108       5.5914   2.3715e-09
Cluster272     COVAR    118   16361       18.016     0.032557       5.2054   0.00026983
Cluster132     COVAR    119   16361        31.63     0.050304       5.6434   1.0627e-08
Cluster273     COVAR    119   16361       23.965     0.032028       6.9607   0.00028862
Cluster132     COVAR    120   16361       32.366     0.051475       5.6165   4.2263e-09
Cluster275     COVAR    120   16361       19.828      0.02978       6.1396   0.00062137
Cluster132     COVAR    121   16361       32.037     0.050952       5.6153   5.9237e-09
Cluster283     COVAR    121   16361       24.431     0.033339       6.7532   0.00014914
Cluster132     COVAR    122   16361       32.957     0.052415       5.6007   2.0428e-09
Cluster284     COVAR    122   16361       18.463     0.026859       6.3201    0.0017458
Cluster132     COVAR    123   16361       32.092     0.051039       5.6384   6.4204e-09
Cluster286     COVAR    123   16361       20.209     0.028809       6.5424    0.0010064
Cluster132     COVAR    124   16361       33.411     0.053137       5.5722   1.0363e-09
Cluster364     COVAR    124   16361       17.826      0.02974       5.2914   0.00037851
Cluster132     COVAR    125   16361       33.702     0.053599       5.5577   6.8135e-10
Cluster377     COVAR    125   16361       21.803     0.035618       5.3467   2.2852e-05
Cluster132     COVAR    126   16361       33.689     0.053579       5.5571   6.8812e-10
Cluster378     COVAR    126   16361       20.909      0.03513        4.995   1.4285e-05
Cluster132     COVAR    127   16361       34.732     0.055238       5.5463   1.9536e-10
Cluster385     COVAR    127   16361       26.705      0.03624       6.4125   1.5695e-05
Cluster132     COVAR    128   16361       34.015     0.054098       5.5575   4.7855e-10
Cluster386     COVAR    128   16361       15.852     0.029213       4.6482   0.00032521
Cluster132     COVAR    129   16361       33.291     0.052947       5.5808   1.2509e-09
Cluster396     COVAR    129   16361       16.527     0.028687       5.2872   0.00088811
Cluster132     COVAR    130   16361       32.462     0.051627       5.5865   3.1786e-09
Cluster403     COVAR    130   16361       19.642     0.035655       4.8266   2.3683e-05
Cluster132     COVAR    131   16361        31.13     0.049509       5.6799   2.1554e-08
Cluster405     COVAR    131   16361       24.607     0.030383       7.3665   0.00041932
Cluster132     COVAR    132   16361       33.475     0.053238       5.5631   9.0942e-10
Cluster415     COVAR    132   16361        20.43     0.033925        5.187   4.1161e-05
Cluster132     COVAR    133   16361       33.251     0.052883       5.5819   1.3161e-09
Cluster422     COVAR    133   16361       21.869     0.027988       6.9593   0.00083937
Cluster132     COVAR    134   16361       30.944     0.049213       5.6169   1.8362e-08
Cluster426     COVAR    134   16361       37.788     0.041719       7.9684   1.0673e-06
Cluster132     COVAR    135   16361       32.434     0.051584       5.5791   3.1258e-09
Cluster427     COVAR    135   16361       29.489     0.038632       6.5636    3.542e-06
Cluster132     COVAR    136   16361        33.11     0.052659        5.577   1.4862e-09
Cluster428     COVAR    136   16361       25.037      0.03205       6.9682     0.000164
Cluster132     COVAR    137   16361       34.076     0.054195       5.5549   4.3885e-10
Cluster429     COVAR    137   16361       22.043     0.032991       6.0781   0.00014407
Cluster132     COVAR    138   16361       33.342     0.053027       5.5796   1.1744e-09
Cluster430     COVAR    138   16361       16.956     0.027144       5.4673   0.00096512
Cluster133     COVAR    139   16361        25.03     0.032137       7.5947    0.0004921
Cluster136     COVAR    139   16361       12.359     0.022275        5.167    0.0083855
Cluster133     COVAR    140   16361        29.14     0.037414       7.0395   1.7505e-05
Cluster206     COVAR    140   16361       13.887     0.027963       4.2515   0.00054618
Cluster133     COVAR    141   16361           28     0.035951       7.0928   3.9651e-05
Cluster207     COVAR    141   16361       16.291     0.028994       4.9544   0.00050555
Cluster133     COVAR    142   16361       25.589     0.032855       7.1065   0.00015915
Cluster217     COVAR    142   16361       36.257     0.043469       7.4993   6.7369e-07
Cluster133     COVAR    143   16361       28.639     0.036771       7.0201   2.2684e-05
Cluster219     COVAR    143   16361       23.431     0.039454       5.2545   4.1448e-06
Cluster133     COVAR    144   16361       28.828     0.037013       7.0627   2.2479e-05
Cluster221     COVAR    144   16361       13.937      0.02572       4.5281    0.0010443
Cluster133     COVAR    145   16361       28.026     0.035983       7.1123    4.087e-05
Cluster222     COVAR    145   16361       14.577     0.026518       4.8175    0.0012417
Cluster133     COVAR    146   16361       27.296     0.035047       7.1112   6.2167e-05
Cluster224     COVAR    146   16361       22.399     0.031695       6.2949   0.00018725
Cluster133     COVAR    147   16361       27.697     0.035561       7.0631   4.4243e-05
Cluster225     COVAR    147   16361       22.871     0.035784       5.6339   2.4723e-05
Cluster133     COVAR    148   16361       27.729     0.035602       7.0885   4.6026e-05
Cluster226     COVAR    148   16361       22.654     0.031273       6.3642    0.0001863
Cluster133     COVAR    149   16361       25.855     0.033196       7.1605   0.00015319
Cluster228     COVAR    149   16361       28.097     0.035677       7.1561   4.3334e-05
Cluster133     COVAR    150   16361       26.361     0.033846       7.1051   0.00010399
Cluster229     COVAR    150   16361       27.984     0.038852       6.4884   8.1126e-06
Cluster133     COVAR    151   16361       29.388     0.037732        7.034   1.4795e-05
Cluster230     COVAR    151   16361       17.906     0.026832       5.6853   0.00081932
Cluster133     COVAR    152   16361        27.77     0.035655       7.0866   4.4726e-05
Cluster231     COVAR    152   16361       23.871     0.031808        6.708   0.00018706
Cluster133     COVAR    153   16361       28.729     0.036887       7.0724   2.4442e-05
Cluster232     COVAR    153   16361       19.827     0.026968       6.6032    0.0013406
Cluster133     COVAR    154   16361       28.145     0.036137       7.0592   3.3622e-05
Cluster233     COVAR    154   16361       25.083     0.033398       6.6858   8.8191e-05
Cluster133     COVAR    155   16361       27.786     0.035676       7.0474   4.0476e-05
Cluster234     COVAR    155   16361       31.336     0.038831       7.1641   6.1451e-06
Cluster133     COVAR    156   16361        28.28      0.03631       7.0893   3.3335e-05
Cluster242     COVAR    156   16361       22.002     0.028241        7.051   0.00090494
Cluster133     COVAR    157   16361       28.811     0.036991       7.0297   2.0919e-05
Cluster250     COVAR    157   16361       21.686      0.03663        5.564   4.8802e-05
Cluster133     COVAR    158   16361       28.396     0.036459       7.0626   2.9182e-05
Cluster251     COVAR    158   16361       20.144     0.031542       5.8212   0.00027046
Cluster133     COVAR    159   16361       27.959     0.035897       7.0773   3.9194e-05
Cluster252     COVAR    159   16361       22.286     0.032907       6.2582   0.00018533
Cluster133     COVAR    160   16361       28.167     0.036165       7.0914    3.581e-05
Cluster269     COVAR    160   16361       22.259     0.029378       6.9999   0.00073811
Cluster133     COVAR    161   16361       28.057     0.036024        7.115   4.0375e-05
Cluster271     COVAR    161   16361        19.29     0.027691       6.4845    0.0014687
Cluster133     COVAR    162   16361       28.666     0.036805       7.0437   2.3667e-05
Cluster272     COVAR    162   16361       18.959      0.03426       5.2165    0.0001398
Cluster133     COVAR    163   16361       27.513     0.035325       7.0835   5.1584e-05
Cluster273     COVAR    163   16361        26.49     0.035403       6.9503   6.9396e-05
Cluster133     COVAR    164   16361        28.41     0.036477       7.0588   2.8666e-05
Cluster275     COVAR    164   16361       21.634     0.032493       6.1384   0.00021289
Cluster133     COVAR    165   16361       27.684     0.035545       7.0736   4.5663e-05
Cluster283     COVAR    165   16361       26.083     0.035593       6.7674   5.8307e-05
Cluster133     COVAR    166   16361       28.886     0.037088       7.0581   2.1448e-05
Cluster284     COVAR    166   16361       19.693     0.028649       6.3361   0.00094348
Cluster133     COVAR    167   16361       27.875      0.03579       7.0913   4.2524e-05
Cluster286     COVAR    167   16361       22.293      0.03178       6.5457   0.00033077
Cluster133     COVAR    168   16361       28.444     0.036521       7.0718   2.8981e-05
Cluster364     COVAR    168   16361       17.377     0.028992       5.3422    0.0005726
Cluster133     COVAR    169   16361       31.244     0.040115       6.9783   3.8104e-06
Cluster377     COVAR    169   16361       23.224     0.037939       5.3406   6.8992e-06
Cluster133     COVAR    170   16361       30.292     0.038893       6.9889   7.3651e-06
Cluster378     COVAR    170   16361       21.531     0.036176       4.9974   8.2766e-06
Cluster133     COVAR    171   16361       31.593     0.040564       6.9766   2.9954e-06
Cluster385     COVAR    171   16361       26.954     0.036578       6.4168   1.3393e-05
Cluster133     COVAR    172   16361       31.359     0.040263         6.98   3.5449e-06
Cluster386     COVAR    172   16361       16.975     0.031282       4.6441   0.00012897
Cluster133     COVAR    173   16361       30.486     0.039142       6.9937   6.5783e-06
Cluster396     COVAR    173   16361       18.405     0.031945       5.2708   0.00024064
Cluster133     COVAR    174   16361        28.11     0.036092       7.0424   3.2991e-05
Cluster403     COVAR    174   16361       20.382     0.036998       4.8402   1.2794e-05
Cluster133     COVAR    175   16361       25.707     0.033006       7.2079   0.00018154
Cluster405     COVAR    175   16361       26.645     0.032899       7.4365   0.00017039
Cluster133     COVAR    176   16361       31.269     0.040148       6.9783   3.7452e-06
Cluster415     COVAR    176   16361       22.197     0.036859        5.176   9.0552e-06
Cluster133     COVAR    177   16361       29.793     0.038253       7.0129   1.0836e-05
Cluster422     COVAR    177   16361       23.529     0.030112       6.9555   0.00035973
Cluster133     COVAR    178   16361       25.846     0.033185       7.0909   0.00013423
Cluster426     COVAR    178   16361       39.549     0.043663       8.0024   3.9085e-07
Cluster133     COVAR    179   16361       28.534     0.036636       7.0179   2.4057e-05
Cluster427     COVAR    179   16361       30.753     0.040287       6.5679   1.4319e-06
Cluster133     COVAR    180   16361       30.008     0.038528       6.9986   9.0893e-06
Cluster428     COVAR    180   16361       26.987     0.034546       6.9564   5.2579e-05
Cluster133     COVAR    181   16361       31.136     0.039977       6.9815   4.1355e-06
Cluster429     COVAR    181   16361       23.075     0.034536       6.0771   7.3512e-05
Cluster133     COVAR    182   16361       29.822      0.03829       7.0136   1.0661e-05
Cluster430     COVAR    182   16361       18.128     0.029021        5.467   0.00045781
Cluster136     COVAR    183   16361       17.523     0.031582       4.7682    0.0001194
Cluster206     COVAR    183   16361       14.773     0.029747       4.2328   0.00024221
