VARIABLE,cluster_id,cluster_name,supercluster,class_auto,neurotransmitter,top_regions,top_dissections,top_genes,n_cells,NGENES,BETA,BETA_STD,SE,P
Cluster455,455,Thex_455,Thalamic excitatory,NEUR,VGLUT2,"Thalamus: 97.9%, Midbrain: 2.1%, Cerebral cortex: 0.0%","Human Pul: 40.5%, Human ETH: 38.2%, Human MD: 5.5%","AC037486.1, LINC01151, SMILR, MATN3, FSHR, COL6A5, CYP27C1, CLEC3A, ITIH5, AC012535.1",474,16327,6.179,0.01226,3.759,0.050122
Cluster268,268,LLC_268,LAMP5-LHX6 and Chandelier,NEUR,GABA,"Hippocampus: 95.5%, Cerebral cortex: 2.4%, Amygdala: 1.1%","Human CA1U-CA2U-CA3U: 17.8%, Human CA3R: 17.6%, Human CA4C-DGC: 13.9%","CHRDL1, AL136456.1, EYA4, HAPLN1, LINC01344, CHST9, ANO1, TACR1, GRPR, NPPC",3843,16327,8.8755,0.013157,5.427,0.050989
Cluster360,360,Splat_360,Splatter,NEUR,GABA,"Midbrain: 99.1%, Pons: 0.8%, Thalamus: 0.1%","Human SC: 87.1%, Human IC: 10.6%, Human PTR: 0.6%","IGFL1, AP000146.1, LINC01692, OTX2, GATA3, IRX2, DMBX1, COL6A2, IRX3, FST",1215,16327,7.849,0.012948,4.8072,0.051274
Cluster428,428,Splat_428,Splatter,NEUR,GABA,"Basal forebrain: 59.7%, Amygdala: 16.1%, Hypothalamus: 13.8%","Human SEP: 55.1%, Human BNST: 12.4%, Human ANC: 5.7%","FREM2, AC092958.2, SCGN, AC092957.1, ZIC2, LHX8, PRDM12, PRDM16, ZIC5, TTR",3182,16327,10.243,0.013118,6.2739,0.051284
Cluster280,280,CGE_280,CGE interneuron,NEUR,GABA,"Cerebral cortex: 73.7%, Amygdala: 13.3%, Hippocampus: 7.8%","Human MEC: 7.2%, Human Pir: 6.0%, Human LEC: 5.6%","AC006305.1, LINC01416, AL391832.4, LINC01905, SP8, DCN, CHRNB3, CXCL14, CHRNA7, CRH",5106,16327,8.1734,0.012853,5.0068,0.051304
Cluster350,350,Splat_350,Splatter,NEUR,GLY,"Medulla: 98.2%, Spinal cord: 1.0%, Pons: 0.7%","Human MoRF-MoEN: 48.6%, Human MoAN: 35.1%, Human MoSR: 14.5%","SLC6A5, HOXB3, SKOR2, TFAP2A, LBX1-AS1, CRABP1, HOXA3, MAB21L2, HOXB2, HOXD3",3486,16327,7.7707,0.013013,4.7671,0.051555
Cluster423,423,Splat_423,Splatter,NEUR,GABA,"Amygdala: 50.6%, Thalamus: 19.8%, Hypothalamus: 15.4%","Human ANC: 19.2%, Human CEN: 17.4%, Human CMN: 13.8%","CYP19A1, SCN5A, DGKK, GABRQ, ARHGAP36, DIRAS3, NTS, FBXL21P, AL035425.2, VWA5B1",3114,16327,11.25,0.012501,6.9424,0.052579
Cluster130,130,ULIT_130,Upper-layer intratelencephalic,NEUR,VGLUT1 VGLUT2,"Cerebral cortex: 97.8%, Amygdala: 0.7%, Basal forebrain: 0.7%","Human A29-A30: 18.1%, Human MTG: 12.0%, Human A23: 7.7%","AC008568.1, AC025839.1, LINC02296, AJ009632.2, SLC38A11, AL117329.1, ENPEP, MIR3976HG, AC016598.2, MFGE8",25496,16327,9.5484,0.012693,5.8976,0.052731
Cluster201,201,DG_201,Hippocampal dentate gyrus,NEUR,VGLUT1,"Hippocampus: 99.9%, Midbrain: 0.1%, Thalamus: 0.0%","Human DGU-CA4Upy: 34.3%, Human DGR-CA4: 34.3%, Human DGR-CA4Rpy: 14.6%","AC097487.1, AC097528.1, COL6A3, NTF3, LINC01697, ANKRD20A19P, AL672167.1, LINC01324, AC092110.1, AL445985.1",18996,16327,8.3704,0.012814,5.1743,0.052877
Cluster347,347,Splat_347,Splatter,NEUR,GLY,"Medulla: 68.6%, Spinal cord: 29.3%, Pons: 0.9%","Human MoAN: 33.4%, Human SpC: 29.3%, Human MoSR: 21.6%","PAX2, HOXB3, EBF3, NPPC, SLC6A5, HOXB7, AC024230.1, HOXB-AS3, PAX8, PDYN",2434,16327,6.6983,0.013345,4.1482,0.053196
Cluster417,417,Splat_417,Splatter,NEUR,GABA HDC,"Hypothalamus: 95.8%, Midbrain: 4.0%, Amygdala: 0.1%","Human HTHtub: 32.3%, Human HTHso-HTHtub: 31.4%, Human HTHma-HTHtub: 26.7%","GHRH, OTP, CALCR, ECEL1, DLK1, C14orf39, ISL1, GAL, GABRE, SIX6",3885,16327,7.8674,0.012456,4.9121,0.05463
