# MEAN_SAMPLE_SIZE = 26052
# TOTAL_GENES = 16076
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE        TYPE  NGENES         BETA     BETA_STD           SE            P
Cluster263     COVAR   16076      -2.8731   -0.0041259       5.3938      0.70286
Cluster264     COVAR   16076      -3.7407   -0.0055037       5.2419      0.76226
Cluster265     COVAR   16076      -2.4104   -0.0037249       4.9802       0.6858
Cluster266     COVAR   16076      -5.9926   -0.0087253       5.2535      0.87299
Cluster267     COVAR   16076      0.63562   0.00091974       5.3373       0.4526
Cluster268     COVAR   16076       -4.004   -0.0060003        5.272      0.77622
Cluster269     COVAR   16076      -2.6226   -0.0034754       5.8765       0.6723
Cluster27      COVAR   16076       1.2049    0.0055267       1.6165      0.22803
Cluster270     COVAR   16076       1.0641    0.0016153       5.1904      0.41878
Cluster271     COVAR   16076      0.61259   0.00088328       5.4053      0.45488
Cluster272     COVAR   16076       -1.433   -0.0026036       4.3686      0.62855
Cluster273     COVAR   16076       4.2299    0.0056837       5.8218      0.23376
Cluster274     COVAR   16076        1.134    0.0016605       5.3519       0.4161
Cluster275     COVAR   16076     -0.49085  -0.00075316       5.1187       0.5382
Cluster276     COVAR   16076      -7.9013    -0.012525       4.4611      0.96172
Cluster277     COVAR   16076      -8.6074    -0.013768       4.5974       0.9694
Cluster278     COVAR   16076      -4.3269   -0.0063183       5.2304      0.79595
Cluster279     COVAR   16076      -5.1425   -0.0082217       4.6751      0.86432
Cluster28      COVAR   16076      0.17704     0.001058       1.2501      0.44369
Cluster280     COVAR   16076      -4.8413   -0.0076345       4.7948      0.84367
Cluster281     COVAR   16076      -4.5821   -0.0085505       3.9763       0.8754
Cluster282     COVAR   16076      -2.8003   -0.0054752       3.9098      0.76306
Cluster283     COVAR   16076       2.4477    0.0033537       5.5676       0.3301
Cluster284     COVAR   16076       4.9252    0.0071949       5.2435       0.1738
Cluster285     COVAR   16076     -0.73656   -0.0010615       5.1865      0.55647
Cluster286     COVAR   16076       3.8364    0.0054853       5.4458      0.24058
Cluster287     COVAR   16076       2.3476    0.0038792       4.5731      0.30385
Cluster288     COVAR   16076       1.0262    0.0014542       5.4737      0.42564
Cluster289     COVAR   16076       2.4639    0.0042894        4.383      0.28701
Cluster29      COVAR   16076       1.9416     0.014402      0.95743     0.021295
Cluster290     COVAR   16076      0.63956   0.00099694       4.9029      0.44811
Cluster291     COVAR   16076      -3.3474   -0.0048638       5.2203      0.73931
Cluster292     COVAR   16076      -5.7817   -0.0087873       5.0512       0.8738
Cluster293     COVAR   16076        3.928    0.0077182       3.7207      0.14556
Cluster294     COVAR   16076       4.4857    0.0063939       5.4824      0.20663
Cluster295     COVAR   16076      -2.4066   -0.0044152       4.1825      0.71749
Cluster296     COVAR   16076       3.9256    0.0062546       4.7578      0.20467
Cluster297     COVAR   16076       1.0174    0.0090605       0.7603     0.090425
Cluster298     COVAR   16076      -4.0021   -0.0083741       3.5851      0.86785
Cluster299     COVAR   16076      -1.5612   -0.0030754       3.8664      0.65681
Cluster3       COVAR   16076    -0.083095   -0.0012629      0.49334      0.56688
Cluster30      COVAR   16076       1.8392    0.0087075       1.5086       0.1114
Cluster300     COVAR   16076       1.1349    0.0026542       3.1645      0.35994
Cluster301     COVAR   16076      -3.6112   -0.0081434       3.2658      0.86557
Cluster302     COVAR   16076      -2.1601   -0.0068445       2.2647       0.8299
Cluster303     COVAR   16076      -2.8551   -0.0088192        2.375      0.88534
Cluster304     COVAR   16076      -2.2298   -0.0054463       2.9862      0.77238
Cluster305     COVAR   16076       2.2325     0.005641       2.9219      0.22242
Cluster306     COVAR   16076     -0.72676   -0.0015815        3.318      0.58669
Cluster307     COVAR   16076      -1.1056   -0.0022585       3.5189      0.62331
Cluster308     COVAR   16076       1.3114    0.0033637       2.9439        0.328
Cluster309     COVAR   16076      -1.0815   -0.0021908       3.8405      0.61087
Cluster31      COVAR   16076     -0.34305    -0.002202       1.1194      0.62037
Cluster310     COVAR   16076       3.5319    0.0088227       3.1548      0.13147
Cluster311     COVAR   16076       2.0994    0.0062359       2.6456      0.21374
Cluster312     COVAR   16076       1.9206    0.0062048       2.4844      0.21974
Cluster313     COVAR   16076       0.9371    0.0033554       2.0222      0.32154
Cluster314     COVAR   16076          1.2    0.0071197       1.2037      0.15941
Cluster315     COVAR   16076       3.8202    0.0072171        3.935      0.16583
Cluster316     COVAR   16076      0.84303    0.0022785       2.8293      0.38287
Cluster317     COVAR   16076       2.5256    0.0062501       3.1928      0.21447
Cluster318     COVAR   16076       1.6154    0.0035316       3.4716      0.32085
Cluster319     COVAR   16076       1.6183    0.0034485       3.5658      0.32497
Cluster32      COVAR   16076       2.5504    0.0073341       2.7147      0.17375
Cluster320     COVAR   16076       1.4768    0.0035069       3.2529      0.32492
Cluster321     COVAR   16076       1.4922    0.0029687       3.7549      0.34554
Cluster322     COVAR   16076      -2.0225    -0.005594       2.6995      0.77313
Cluster323     COVAR   16076      -1.6345   -0.0031247       3.9231      0.66153
Cluster324     COVAR   16076    -0.074926  -0.00014444       3.9718      0.50753
Cluster325     COVAR   16076     -0.21809  -0.00040732        4.108      0.52117
Cluster326     COVAR   16076       1.5675    0.0030198       4.0065      0.34781
Cluster327     COVAR   16076       0.8254     0.001412       4.4045      0.42567
Cluster328     COVAR   16076     -0.20153  -0.00034565       4.3556      0.51845
Cluster329     COVAR   16076       2.3385    0.0035607       5.0098      0.32033
Cluster33      COVAR   16076        2.513    0.0063935       2.9928      0.20055
Cluster330     COVAR   16076     -0.83531   -0.0015525       3.9394      0.58396
Cluster331     COVAR   16076       6.9817     0.012321       4.2013     0.048291
Cluster332     COVAR   16076       1.5805    0.0025607       4.6906      0.36808
Cluster333     COVAR   16076       1.6149    0.0034004       3.6697      0.32995
Cluster334     COVAR   16076     -0.32421   -0.0010606       2.4233      0.55321
Cluster335     COVAR   16076       -3.268   -0.0091053       2.7156      0.88558
Cluster336     COVAR   16076      -2.2815   -0.0060035        2.873      0.78644
Cluster337     COVAR   16076      -4.6222    -0.012012       2.8231       0.9492
Cluster338     COVAR   16076      -4.1808    -0.010965       3.0323        0.916
