# TOTAL_GENES = 16076
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE        TYPE  NGENES         BETA     BETA_STD           SE            P
Cluster353     COVAR   16076      -3.3225   -0.0057877       4.3761      0.77614
Cluster354     COVAR   16076      -6.9396   -0.0093816       5.6605      0.88989
Cluster355     COVAR   16076      -5.1218   -0.0062122       6.3656      0.78947
Cluster356     COVAR   16076      -3.0587   -0.0040032       5.8964      0.69802
Cluster357     COVAR   16076      -5.9277   -0.0099784       4.6064      0.90091
Cluster358     COVAR   16076      -4.5476   -0.0061901       5.6736      0.78858
Cluster359     COVAR   16076      -2.6323   -0.0043369       4.6086      0.71606
Cluster36      COVAR   16076       3.0728    0.0077776       2.9649      0.15002
Cluster360     COVAR   16076      -5.7394   -0.0096202       4.6777      0.89007
Cluster361     COVAR   16076      -4.4732   -0.0078803       4.3253      0.84947
Cluster362     COVAR   16076      -8.8125    -0.013683       4.8704      0.96479
Cluster363     COVAR   16076      -5.6708    -0.011865       3.4777       0.9485
Cluster364     COVAR   16076      -4.2097   -0.0070866       4.3183      0.83517
Cluster365     COVAR   16076      -2.9244   -0.0040204       5.5149      0.70203
Cluster366     COVAR   16076      -1.6561   -0.0028829       4.4086      0.64641
Cluster367     COVAR   16076      -1.5347   -0.0019167        6.123      0.59895
Cluster368     COVAR   16076      -1.3927   -0.0028372       3.3868      0.65953
Cluster369     COVAR   16076      -2.7545   -0.0037591       5.6045      0.68845
Cluster37      COVAR   16076       3.2805     0.010408       2.3039     0.077251
Cluster370     COVAR   16076      -2.2367   -0.0031183       5.6319      0.65436
Cluster371     COVAR   16076      -5.9237    -0.011568       3.9106      0.93508
Cluster372     COVAR   16076       9.2597     0.015149       4.7157     0.024797
Cluster373     COVAR   16076      0.93509    0.0015357       4.6728       0.4207
Cluster374     COVAR   16076      -4.7936   -0.0082548       4.4526      0.85916
Cluster375     COVAR   16076      -5.9122    -0.010824       4.1069      0.92499
Cluster376     COVAR   16076       2.8329     0.004295       5.0603       0.2878
Cluster377     COVAR   16076       -4.309   -0.0070983       4.5696      0.82714
Cluster378     COVAR   16076        3.382    0.0057588       4.5665      0.22947
Cluster379     COVAR   16076      0.41679   0.00078191       3.9215      0.45768
Cluster38      COVAR   16076       1.5157    0.0051385       2.1758      0.24303
