# MEAN_SAMPLE_SIZE = 57513
# TOTAL_GENES = 16333
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE        TYPE  NGENES         BETA     BETA_STD           SE            P
Cluster271     COVAR   16333       40.404     0.058024        6.701   8.4424e-10
Cluster272     COVAR   16333       26.945      0.04872       5.4343   3.5983e-07
Cluster273     COVAR   16333       51.194     0.068443       7.2329   7.6888e-13
Cluster274     COVAR   16333       36.898     0.053863       6.5953   1.1278e-08
Cluster275     COVAR   16333       38.774     0.058254       6.4177   7.8262e-10
Cluster276     COVAR   16333       14.023      0.02146       5.8687    0.0084419
Cluster277     COVAR   16333       27.433     0.043256       5.8803   1.5573e-06
Cluster278     COVAR   16333       48.455     0.070387       6.4264   2.5071e-14
Cluster279     COVAR   16333       24.266     0.037832       6.0199   2.7938e-05
Cluster28      COVAR   16333      -7.8061    -0.046506       1.5803            1
Cluster280     COVAR   16333       51.487     0.071896       6.7036   8.4819e-15
Cluster281     COVAR   16333       21.402     0.039642       5.2609   2.3829e-05
Cluster282     COVAR   16333       23.747     0.046067       4.8256   4.3551e-07
Cluster283     COVAR   16333       46.488      0.06346       6.9354    1.062e-11
Cluster284     COVAR   16333       36.249     0.052763       6.3788   6.7707e-09
Cluster285     COVAR   16333       26.076     0.037588       6.5938   3.8542e-05
Cluster286     COVAR   16333       45.703     0.065173        6.749   6.6332e-12
Cluster287     COVAR   16333       34.209     0.056121       5.7719   1.5824e-09
Cluster288     COVAR   16333       53.792     0.075831       6.9534   5.5015e-15
Cluster289     COVAR   16333       27.527     0.048256       5.3619   1.4404e-07
Cluster29      COVAR   16333      -4.0976    -0.030528       1.1938       0.9997
Cluster290     COVAR   16333       34.372     0.054276       6.0353   6.2933e-09
Cluster291     COVAR   16333        31.47     0.045327       6.5126    6.832e-07
Cluster292     COVAR   16333       33.686     0.049799       6.4316   8.2593e-08
Cluster293     COVAR   16333       33.614     0.054135       5.8859   5.7388e-09
Cluster294     COVAR   16333       44.183      0.06173       6.7531   3.1327e-11
Cluster295     COVAR   16333       28.776     0.049963       5.4427    6.312e-08
Cluster296     COVAR   16333       39.878     0.061742       6.0343   2.0155e-11
Cluster297     COVAR   16333       1.2566     0.011429      0.98306       0.1006
Cluster298     COVAR   16333      0.96664     0.002004       4.4114      0.41328
Cluster299     COVAR   16333       8.1833     0.016088        4.634     0.038716
Cluster3       COVAR   16333      -1.5908    -0.024216      0.60509      0.99571
Cluster30      COVAR   16333      -7.7066    -0.036451         1.94      0.99996
Cluster300     COVAR   16333       8.8765     0.020467       3.9615     0.012531
Cluster301     COVAR   16333       7.9293     0.018214       3.8949     0.020894
Cluster302     COVAR   16333       3.1807    0.0099693       2.8487      0.13211
Cluster303     COVAR   16333       1.8696    0.0057067       2.8353      0.25483
Cluster304     COVAR   16333       7.2932     0.017627       3.7927     0.027254
Cluster305     COVAR   16333       9.3673     0.023291       3.4544    0.0033511
Cluster306     COVAR   16333       11.736     0.025046       4.2638    0.0029618
Cluster307     COVAR   16333       12.481     0.025191         4.69    0.0038992
Cluster308     COVAR   16333       1.8626    0.0047497       3.5675      0.30081
Cluster309     COVAR   16333       12.809     0.025898       4.5624     0.002499
Cluster31      COVAR   16333        -6.07    -0.037894       1.4661      0.99998
Cluster310     COVAR   16333       12.342     0.030692       3.9071   0.00079378
Cluster311     COVAR   16333       9.4832     0.028134       3.2536     0.001783
Cluster312     COVAR   16333       5.3057     0.017471       3.0566     0.041309
Cluster313     COVAR   16333      -1.2243   -0.0047913       2.3491      0.69887
Cluster314     COVAR   16333     -0.84538   -0.0049686       1.5017      0.71326
Cluster315     COVAR   16333       3.3776    0.0063404       4.9154        0.246
Cluster316     COVAR   16333      -6.7109    -0.017957       3.5677         0.97
Cluster317     COVAR   16333      -1.9889   -0.0048723        3.933      0.69346
Cluster318     COVAR   16333      -1.3668   -0.0029576       4.2899      0.62499
Cluster319     COVAR   16333       1.4066    0.0029287       4.4571      0.37616
Cluster32      COVAR   16333       1.9397    0.0056776       3.2203      0.27348
Cluster320     COVAR   16333      -1.4712   -0.0034435       3.9746      0.64436
