# TOTAL_GENES = 16076
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE        TYPE  NGENES         BETA     BETA_STD           SE            P
Cluster266     COVAR   16076       9.9549     0.014495       5.3882     0.032344
Cluster267     COVAR   16076       1.6458    0.0023815       5.3938      0.38014
Cluster268     COVAR   16076      0.48506   0.00072689       5.3968      0.46419
Cluster269     COVAR   16076       2.9499    0.0039091       6.0016      0.31153
Cluster27      COVAR   16076       1.9136    0.0087775       1.6561      0.12397
Cluster270     COVAR   16076      -3.7998   -0.0057684        5.277      0.76425
Cluster271     COVAR   16076      -0.3528   -0.0005087       5.5172      0.52549
Cluster272     COVAR   16076      -1.6664   -0.0030274       4.4734      0.64524
Cluster273     COVAR   16076      0.92668    0.0012452       5.9391      0.43801
Cluster274     COVAR   16076      -5.1362    -0.007521       5.4483      0.82708
Cluster275     COVAR   16076      -2.1011    -0.003224       5.2377      0.65584
Cluster276     COVAR   16076     -0.62947  -0.00099779       4.5632      0.55486
Cluster277     COVAR   16076     -0.27854  -0.00044553       4.7134      0.52356
Cluster278     COVAR   16076     0.015325   2.2379e-05        5.322      0.49885
Cluster279     COVAR   16076         -1.5   -0.0023981        4.827        0.622
Cluster28      COVAR   16076      0.86666    0.0051792       1.2812      0.24938
Cluster280     COVAR   16076      0.38474   0.00060672       4.9095      0.46877
Cluster281     COVAR   16076       2.2668    0.0042299       4.0611      0.28837
Cluster282     COVAR   16076        2.932    0.0057326       3.9933      0.23141
Cluster283     COVAR   16076       4.9007    0.0067147       5.7138      0.19554
Cluster284     COVAR   16076       3.4922    0.0051015       5.3664      0.25761
Cluster285     COVAR   16076       2.5277    0.0036428       5.3224      0.31742
Cluster286     COVAR   16076      0.53259    0.0007615       5.5777      0.46197
Cluster287     COVAR   16076      -7.9591    -0.013151        4.677      0.95559
Cluster288     COVAR   16076      -5.7398   -0.0081334       5.6012      0.84725
Cluster289     COVAR   16076      -5.6033   -0.0097547       4.4846      0.89424
Cluster29      COVAR   16076       1.5861     0.011765      0.98698     0.054038
Cluster290     COVAR   16076      -8.9921    -0.014017       5.0411      0.96276
Cluster291     COVAR   16076      -5.8146   -0.0084488        5.338      0.86197
Cluster292     COVAR   16076      -3.5052   -0.0053274       5.1642      0.75135
Cluster293     COVAR   16076      -4.5135   -0.0088688       3.8094      0.88195
Cluster294     COVAR   16076     0.074962   0.00010685        5.612      0.49467
Cluster295     COVAR   16076      -5.4695    -0.010034       4.2848       0.8991
Cluster296     COVAR   16076       2.4535    0.0039091       4.8668      0.30709
Cluster297     COVAR   16076       0.6247    0.0055631      0.77772      0.21092
Cluster298     COVAR   16076      -10.027     -0.02098       3.6599      0.99692
Cluster299     COVAR   16076      -7.6562    -0.015083        3.955      0.97355
Cluster3       COVAR   16076     -0.30495   -0.0046346      0.50208      0.72819
Cluster30      COVAR   16076       1.7678    0.0083694       1.5464       0.1265
Cluster300     COVAR   16076      -6.2731    -0.014671       3.2285      0.97398
Cluster301     COVAR   16076      -4.9687    -0.011205       3.3406      0.93153
Cluster302     COVAR   16076      -6.7647    -0.021435       2.3174      0.99824
Cluster303     COVAR   16076      -4.5618    -0.014091       2.4276      0.96988
Cluster304     COVAR   16076      -5.4629    -0.013343       3.0482      0.96344
Cluster305     COVAR   16076      -2.5505   -0.0064445       2.9915      0.80305
Cluster306     COVAR   16076      -3.6963   -0.0080435       3.3907      0.86217
Cluster307     COVAR   16076      -3.9239   -0.0080155        3.607      0.86166
Cluster308     COVAR   16076       1.0767    0.0027618       3.0102      0.36029
Cluster309     COVAR   16076      0.30974   0.00062745       3.9221      0.46853
Cluster31      COVAR   16076       2.3031     0.014783       1.1505      0.02266
Cluster310     COVAR   16076      0.50512    0.0012618       3.2094      0.43747
Cluster311     COVAR   16076     -0.20497  -0.00060884       2.6821      0.53046
Cluster312     COVAR   16076      -1.1324   -0.0036584       2.5374       0.6723
Cluster313     COVAR   16076      -2.2866   -0.0081873       2.0637      0.86606
Cluster314     COVAR   16076       0.1797    0.0010662       1.2373      0.44226
Cluster315     COVAR   16076      -2.8738   -0.0054291       4.0263       0.7623
Cluster316     COVAR   16076       1.3709    0.0037052       2.8948       0.3179
Cluster317     COVAR   16076      0.43671    0.0010807       3.2694      0.44687
Cluster318     COVAR   16076      -2.8401   -0.0062091       3.5538       0.7879
Cluster319     COVAR   16076      -3.6938   -0.0078712       3.6135      0.84666
Cluster32      COVAR   16076        1.707    0.0049088       2.7844      0.26992
Cluster320     COVAR   16076      -1.7742   -0.0042133       3.3227      0.70331
Cluster321     COVAR   16076      0.32063    0.0006379       3.8582      0.46689
Cluster322     COVAR   16076       -0.241  -0.00066656       2.7551      0.53485
Cluster323     COVAR   16076       1.8503    0.0035373       4.0041      0.32201
Cluster324     COVAR   16076       2.1849    0.0042121       4.0461       0.2946
Cluster325     COVAR   16076     -0.76416   -0.0014272       4.2037      0.57212
Cluster326     COVAR   16076      -2.5632   -0.0049381       4.1165      0.73324
Cluster327     COVAR   16076       5.3231    0.0091062       4.5299      0.11999
Cluster328     COVAR   16076       5.9902     0.010274       4.4824     0.090727
Cluster329     COVAR   16076       7.6437     0.011639       5.1182     0.067674
Cluster33      COVAR   16076       1.9424    0.0049417       3.0659      0.26319
Cluster330     COVAR   16076       1.3239    0.0024606        4.069      0.37246
Cluster331     COVAR   16076     -0.14124  -0.00024925       4.2927      0.51312
Cluster332     COVAR   16076      -2.0889   -0.0033843       4.8188      0.66766
Cluster333     COVAR   16076      0.93858    0.0019763       3.7533      0.40127
Cluster334     COVAR   16076      0.73363    0.0024001       2.4699      0.38323
Cluster335     COVAR   16076      -3.7996    -0.010587         2.77      0.91491
Cluster336     COVAR   16076      -2.9556   -0.0077772       2.9248      0.84387
Cluster337     COVAR   16076      0.34867   0.00090612       2.8744      0.45173
Cluster338     COVAR   16076      -5.3394    -0.014004       3.1075      0.95711
Cluster339     COVAR   16076      0.11995   0.00020599       4.2919      0.48885
Cluster34      COVAR   16076       3.5732    0.0087078       3.1408      0.12764
Cluster340     COVAR   16076       -0.511   -0.0012331       3.1395      0.56465
Cluster341     COVAR   16076      -2.8695   -0.0062575       3.2984      0.80783
Cluster342     COVAR   16076      -2.2692    -0.006277       2.8971      0.78325
Cluster343     COVAR   16076      -1.7015   -0.0049342        2.778      0.72989
Cluster344     COVAR   16076       5.3073     0.011047       4.0728     0.096283
Cluster345     COVAR   16076      -2.5646   -0.0072133       2.8991      0.81181
Cluster346     COVAR   16076      -1.1776   -0.0034307       2.6759      0.67005
Cluster347     COVAR   16076      -2.4645     -0.00494       4.0161      0.73028
Cluster348     COVAR   16076      -2.0457   -0.0056094       3.1658      0.74092
Cluster349     COVAR   16076        -2.79   -0.0056832       4.1013      0.75183
Cluster35      COVAR   16076       2.6042    0.0063624       3.1378       0.2033
Cluster350     COVAR   16076      -6.0106    -0.010135       4.7414      0.89753
Cluster351     COVAR   16076      -4.9435   -0.0087815       4.2851      0.87567
Cluster352     COVAR   16076      -7.4986    -0.012517       4.6373      0.94705
Cluster353     COVAR   16076       -4.228   -0.0073651       4.4003      0.83168
Cluster354     COVAR   16076       -8.221    -0.011114       5.6917      0.92567
Cluster355     COVAR   16076      -8.7869    -0.010658       6.4006      0.91508
Cluster356     COVAR   16076      -6.2659   -0.0082008       5.9289       0.8547
Cluster357     COVAR   16076      -9.0644    -0.015258       4.6316      0.97482
Cluster358     COVAR   16076      -3.9276   -0.0053461       5.7052       0.7544
Cluster359     COVAR   16076      -4.4126   -0.0072698       4.6341      0.82949
Cluster36      COVAR   16076       2.1145     0.005352       2.9814      0.23909
Cluster360     COVAR   16076      -3.3901   -0.0056825       4.7039      0.76445
Cluster361     COVAR   16076      -3.7351   -0.0065801       4.3493      0.80476
Cluster362     COVAR   16076      -11.012    -0.017098       4.8971      0.98773
Cluster363     COVAR   16076      -3.9703   -0.0083071       3.4972      0.87186
Cluster364     COVAR   16076      -4.0668   -0.0068461       4.3423       0.8255
Cluster365     COVAR   16076       -2.672   -0.0036735       5.5455      0.68504
Cluster366     COVAR   16076      -3.3954   -0.0059108        4.433      0.77813
Cluster367     COVAR   16076      -3.1749   -0.0039653        6.157      0.69695
Cluster368     COVAR   16076      -3.5353   -0.0072023       3.4055      0.85038
Cluster369     COVAR   16076      -6.5077   -0.0088811       5.6354       0.8759
Cluster37      COVAR   16076       2.4042     0.007628       2.3168      0.14971
Cluster370     COVAR   16076      -6.8609   -0.0095651       5.6629      0.88715
Cluster371     COVAR   16076      -4.4498   -0.0086897       3.9324      0.87108
Cluster372     COVAR   16076       6.5349     0.010691       4.7421     0.084104
Cluster373     COVAR   16076     -0.71019   -0.0011663       4.6987      0.56007
Cluster374     COVAR   16076       -6.409    -0.011037       4.4772      0.92384
Cluster375     COVAR   16076      -5.3309   -0.0097596       4.1298      0.90161
Cluster376     COVAR   16076       1.4372     0.002179       5.0884       0.3888
Cluster377     COVAR   16076      -4.8923   -0.0080592       4.5949      0.85649
Cluster378     COVAR   16076       1.8243    0.0031064       4.5919      0.34558
Cluster379     COVAR   16076       1.1176    0.0020966       3.9433      0.38843
Cluster38      COVAR   16076      -0.2403  -0.00081469       2.1879      0.54373
Cluster380     COVAR   16076      -2.4535   -0.0042262       4.5367      0.70568
Cluster381     COVAR   16076      -4.6656   -0.0085783       4.0654      0.87443
Cluster382     COVAR   16076      0.56586    0.0010035       4.4314       0.4492
Cluster383     COVAR   16076      -9.8608    -0.018298       4.0277      0.99282
Cluster384     COVAR   16076      -6.2953   -0.0093692       5.3228      0.88152
Cluster385     COVAR   16076      -2.5854   -0.0035335       5.7646       0.6731
Cluster386     COVAR   16076       1.5017    0.0027859       4.1312      0.35812
Cluster387     COVAR   16076     -0.43176  -0.00081597       3.7595      0.54572
Cluster388     COVAR   16076      -4.2497   -0.0082978       3.9444      0.85934
Cluster389     COVAR   16076      -7.8328    -0.011675        5.265      0.93157
Cluster39      COVAR   16076      -1.6477    -0.007517       1.5885      0.85017
Cluster390     COVAR   16076      -8.5879    -0.011582       5.6969      0.93414
Cluster391     COVAR   16076      -2.9029   -0.0051003       4.2994      0.75022
Cluster392     COVAR   16076      -6.9868    -0.010278       5.2793      0.90714
Cluster393     COVAR   16076      -5.1538   -0.0070243       5.7067      0.81676
Cluster394     COVAR   16076      -4.7784   -0.0086198       4.2139      0.87159
Cluster395     COVAR   16076      -2.9529   -0.0072883       3.1689      0.82428
Cluster396     COVAR   16076      -6.1856     -0.01082       4.2948      0.92509
Cluster397     COVAR   16076      -3.6968   -0.0082458       3.4843      0.85564
Cluster398     COVAR   16076      0.10568   0.00025314       3.1985      0.48682
Cluster399     COVAR   16076     -0.32329    -0.001061       2.3911      0.55377
Cluster4       COVAR   16076     -0.86513   -0.0076673      0.82795      0.85196
Cluster40      COVAR   16076      0.94942    0.0029245       2.4311      0.34808
Cluster400     COVAR   16076      -1.5521    -0.004798       2.5649      0.72745
Cluster401     COVAR   16076     0.085654   0.00019558       3.2689      0.48955
Cluster402     COVAR   16076      -1.8159   -0.0035952       3.9171      0.67852
Cluster403     COVAR   16076      -3.6887   -0.0067044        4.081      0.81696
Cluster404     COVAR   16076       7.2339    0.0084052       6.4431      0.13078
Cluster405     COVAR   16076       4.5485    0.0056375       6.3556      0.23711
Cluster406     COVAR   16076      -7.6675    -0.013535       4.8768      0.94204
Cluster407     COVAR   16076      -7.6146   -0.0099703       5.8564      0.90323
Cluster408     COVAR   16076      -0.3798   -0.0011355       2.4464      0.56168
Cluster409     COVAR   16076       3.6116    0.0099513       2.8693      0.10408
Cluster41      COVAR   16076       4.2107     0.010477       2.9946     0.079862
Cluster410     COVAR   16076       1.4389    0.0033431       3.1639      0.32463
Cluster411     COVAR   16076      -2.6296    -0.006193       3.2595      0.79009
Cluster412     COVAR   16076       1.9875    0.0051518       3.3185      0.27462
Cluster413     COVAR   16076      0.35914   0.00081467       3.6816      0.46115
Cluster414     COVAR   16076       1.0669    0.0025494        3.186      0.36886
Cluster415     COVAR   16076      -12.063    -0.020059       4.4121      0.99687
Cluster416     COVAR   16076      -6.2413    -0.011259       4.3762      0.92308
Cluster417     COVAR   16076     -0.86643   -0.0013898       4.9268       0.5698
Cluster418     COVAR   16076     -0.51353   -0.0010605       3.6926       0.5553
Cluster419     COVAR   16076        8.021     0.010479       5.9599      0.08919
Cluster42      COVAR   16076       4.2634     0.010491       3.0075     0.078168
Cluster420     COVAR   16076      0.26542   0.00041943       4.6639      0.47731
Cluster421     COVAR   16076      0.55594    0.0008867       4.8119      0.45401
Cluster422     COVAR   16076       2.9367    0.0037745         6.16      0.31678
Cluster423     COVAR   16076     -0.71107  -0.00079214       7.0557      0.54014
Cluster424     COVAR   16076     -0.22892  -0.00026641       6.6122      0.51381
Cluster425     COVAR   16076       2.2487    0.0027794       6.2062      0.35856
Cluster426     COVAR   16076       5.3312    0.0059252        7.046      0.22464
Cluster427     COVAR   16076      -3.2102   -0.0042368        5.959      0.70496
Cluster428     COVAR   16076      -8.2371    -0.010583       6.1326      0.91038
Cluster429     COVAR   16076       3.0732    0.0046324       5.1253      0.27439
Cluster43      COVAR   16076        3.792     0.011412       2.4072     0.057609
Cluster430     COVAR   16076       2.2847    0.0036835       4.9045      0.32067
Cluster431     COVAR   16076       2.2822    0.0063067       2.8328      0.21024
Cluster432     COVAR   16076       2.0175    0.0072504        2.326      0.19287
Cluster433     COVAR   16076      0.81992    0.0016547       3.8149      0.41491
Cluster434     COVAR   16076      -4.6587   -0.0081193       4.4344      0.85326
Cluster435     COVAR   16076      -3.3528   -0.0075885       3.2865      0.84617
Cluster436     COVAR   16076      -2.3007   -0.0038855       4.4859      0.69597
