VARIABLE,TYPE,NGENES,BETA,BETA_STD,SE,P,bonf_significant,rank,Cluster ID,Cluster name,Supercluster,Class auto-annotation,Top three regions
Cluster89,COVAR,16231,4.7262,0.007969,6.9703,0.24887,False,307,89.0,DLNP_89,Deep-layer near-projecting,NEUR,"Cerebral cortex: 98.1%, Basal forebrain: 1.6%, Amygdala: 0.1%"
Cluster59,COVAR,16231,1.8389,0.0076604,2.8939,0.26258,False,308,59.0,Astro_59,Astrocyte,ASTRO,"Pons: 36.2%, Cerebellum: 36.1%, Medulla: 10.9%"
Cluster47,COVAR,16231,2.0683,0.0067159,3.5397,0.27951,False,309,47.0,Oligo_47,Oligodendrocyte,OLIGO,"Thalamus: 24.9%, Cerebral cortex: 20.9%, Hippocampus: 13.8%"
Cluster235,COVAR,16231,2.6434,0.0064688,4.6231,0.28374,False,310,235.0,Splat_235,Splatter,NEUR,"Cerebral cortex: 31.8%, Amygdala: 28.5%, Basal forebrain: 25.2%"
Cluster127,COVAR,16231,3.3318,0.0067213,6.0785,0.29181,False,311,127.0,ULIT_127,Upper-layer intratelencephalic,NEUR,"Cerebral cortex: 90.2%, Basal forebrain: 4.2%, Amygdala: 3.4%"
Cluster209,COVAR,16231,2.4037,0.005824,4.5604,0.29908,False,312,209.0,MSN_209,Medium spiny neuron,NEUR,"Basal forebrain: 96.3%, Thalamus: 2.9%, Amygdala: 0.6%"
Cluster211,COVAR,16231,2.4115,0.0057179,4.6476,0.30193,False,313,211.0,MSN_211,Medium spiny neuron,NEUR,"Basal forebrain: 85.7%, Amygdala: 6.3%, Cerebral cortex: 4.2%"
Cluster181,COVAR,16231,3.1836,0.0059331,6.3515,0.30811,False,314,181.0,CA13_181,Hippocampal CA1-3,NEUR,"Hippocampus: 100.0%, Cerebral cortex: 0.0%, Amygdala: 0.0%"
Cluster169,COVAR,16231,3.749,0.0057753,7.5297,0.30929,False,315,169.0,CA13_169,Hippocampal CA1-3,NEUR,"Hippocampus: 98.4%, Cerebral cortex: 1.1%, Amygdala: 0.2%"
Cluster191,COVAR,16231,2.8531,0.0057674,5.8114,0.31174,False,316,191.0,CA4_191,Hippocampal CA4,NEUR,"Hippocampus: 98.1%, Cerebral cortex: 1.6%, Midbrain: 0.2%"
Cluster361,COVAR,16231,3.2741,0.005737,6.6941,0.31239,False,317,361.0,Splat_361,Splatter,NEUR,"Midbrain: 83.4%, Thalamus: 14.3%, Pons: 1.8%"
Cluster43,COVAR,16231,1.7554,0.0052694,3.7175,0.3184,False,318,43.0,COP_43,Committed oligodendrocyte precursor,OLIGO,"Thalamus: 36.2%, Hypothalamus: 18.0%, Amygdala: 10.3%"
Cluster52,COVAR,16231,1.6352,0.0056041,3.4945,0.31992,False,319,52.0,Astro_52,Astrocyte,ASTRO,"Cerebral cortex: 90.3%, Hypothalamus: 3.9%, Hippocampus: 2.2%"
Cluster335,COVAR,16231,1.8824,0.0052087,4.3568,0.33285,False,320,335.0,Splat_335,Splatter,NEUR,"Medulla: 78.3%, Pons: 15.9%, Midbrain: 4.8%"
Cluster157,COVAR,16231,2.5259,0.0046982,5.8726,0.33356,False,321,157.0,Amex_157,Amygdala excitatory,NEUR,"Amygdala: 65.8%, Cerebral cortex: 28.7%, Hippocampus: 5.5%"
Cluster121,COVAR,16231,3.1264,0.0049142,7.3963,0.33626,False,322,121.0,ULIT_121,Upper-layer intratelencephalic,NEUR,"Cerebral cortex: 91.7%, Amygdala: 3.9%, Basal forebrain: 2.7%"
Cluster60,COVAR,16231,1.341,0.0049447,3.2843,0.34153,False,323,60.0,Astro_60,Astrocyte,ASTRO,"Thalamus: 37.1%, Midbrain: 31.3%, Pons: 16.8%"
Cluster116,COVAR,16231,2.5727,0.0047503,6.4164,0.34423,False,324,116.0,Misc_116,Miscellaneous,NEUR,"Cerebral cortex: 93.4%, Amygdala: 3.3%, Basal forebrain: 2.6%"
Cluster51,COVAR,16231,1.0283,0.0046508,2.7396,0.3537,False,325,51.0,Bgl_51,Bergmann glia,ASTRO,"Cerebellum: 95.8%, Pons: 1.9%, Medulla: 1.9%"
