trait_key,trait_display,trait_category,VARIABLE,cluster_id_numeric,cluster_name,supercluster,class_auto,neurotransmitter,top_regions,top_dissections,top_genes,NGENES,BETA,BETA_STD,SE,P,log10_neg_P,bonferroni_significant,rank_within_trait,independent,independent_rank,cluster_id,n_cells
chronotype_loh2018_ukb,Chronotype,sleep / brain-direct,Cluster429,429,Splat_429,Splatter,NEUR,GABA,"Basal forebrain: 55.9%, Amygdala: 24.1%, Thalamus: 12.9%","Human SEP: 48.3%, Human BNST: 23.8%, Human ANC: 12.9%","PRDM16, FREM2, TTR, PRDM16-DT, AC092957.1, ZIC2, SCN5A, Z96074.1, C14orf39, ZIC5",16361,24.164,0.036165,6.0763,3.5113e-05,4.454532063505712,True,33,False,,429,9792.0
chronotype_loh2018_ukb,Chronotype,sleep / brain-direct,Cluster364,364,Splat_364,Splatter,NEUR,VGLUT2,"Midbrain: 99.6%, Thalamus: 0.2%, Medulla: 0.1%","Human IC: 97.5%, Human SC: 1.7%, Human PTR: 0.2%","TFAP2D, LHX9, LINC01956, HNF4G, TMEM176B, LINC01568, AL138720.1, IRX2, WDR72, ZFHX4-AS1",16361,20.886,0.034846,5.2734,3.7554e-05,4.42534379806306,True,34,True,10.0,364,7200.0
chronotype_loh2018_ukb,Chronotype,sleep / brain-direct,Cluster269,269,LLC_269,LAMP5-LHX6 and Chandelier,NEUR,GABA,"Cerebral cortex: 43.7%, Hippocampus: 25.7%, Amygdala: 22.8%","Human MEC: 8.5%, Human CMN: 6.9%, Human CA1U-CA2U-CA3U: 6.2%","CHRDL1, C1QL1, ANO1, TMEM255A, ACADL, LINC01344, ISM1, CHST9, NGF, GRPR",16361,27.233,0.035942,6.8907,3.8931e-05,4.409704440645976,True,35,False,,269,3214.0
chronotype_loh2018_ukb,Chronotype,sleep / brain-direct,Cluster242,242,MGE_242,MGE interneuron,NEUR,,"Cerebral cortex: 90.8%, Hippocampus: 4.6%, Basal forebrain: 1.8%","Human M1C: 6.8%, Human MTG: 6.4%, Human A32: 5.4%","AC022905.1, AC113347.4, MCUB, ELFN1, DCN, FBN2, SLC27A6, TNFSF15, SST, LINC02397",16361,26.987,0.03464,6.9431,5.1012e-05,4.292327648985252,True,36,False,,242,15796.0
chronotype_loh2018_ukb,Chronotype,sleep / brain-direct,Cluster222,222,EMSN_222,Eccentric medium spiny neuron,NEUR,GABA,"Basal forebrain: 93.9%, Thalamus: 1.9%, Cerebral cortex: 1.8%","Human Pu: 38.7%, Human CaB: 28.3%, Human NAC: 12.1%","AL445584.2, CASZ1, AC022133.2, LINC01735, TAC1, LOXHD1, C6orf141, PENK, FBXL21P, SLC35D3",16361,18.26,0.033217,4.7285,5.6561e-05,4.247482920805169,True,37,False,,222,2826.0
chronotype_loh2018_ukb,Chronotype,sleep / brain-direct,Cluster206,206,MSN_206,Medium spiny neuron,NEUR,,"Hippocampus: 97.1%, Thalamus: 2.3%, Cerebral cortex: 0.6%","Human CA4C-DGC: 96.5%, Human Pul: 1.7%, Human LG: 0.6%","LINC02137, AC015631.1, GLI3, PLEK, AP003121.1, LINC02462, RGS9, MME, PTPN7, AL445584.2",16361,16.229,0.03268,4.2162,5.9495e-05,4.225519531139567,True,38,False,,206,172.0
chronotype_loh2018_ukb,Chronotype,sleep / brain-direct,Cluster422,422,Splat_422,Splatter,NEUR,GABA,"Hypothalamus: 44.2%, Amygdala: 23.2%, Thalamus: 20.2%","Human BNST: 22.3%, Human ANC: 20.1%, Human HTHpo: 19.8%","CALCR, LHX8, TMEM255A, DGKK, AL110292.1, ARHGAP36, GABRE, ONECUT3, STK26, LINC00540",16361,26.527,0.033949,6.9238,6.401e-05,4.19375217280421,True,39,False,,422,2976.0
chronotype_loh2018_ukb,Chronotype,sleep / brain-direct,Cluster271,271,LLC_271,LAMP5-LHX6 and Chandelier,NEUR,GABA,"Cerebral cortex: 63.9%, Amygdala: 16.6%, Hippocampus: 9.9%","Human MEC: 11.6%, Human LEC: 5.7%, Human CEN: 4.6%","LINC01344, SFRP1, ANO1, CHRDL1, EYA4, HAPLN1, ADGRG6, AL136456.1, MYB, CASP4LP",16361,24.296,0.034877,6.3623,6.7372e-05,4.171520560023435,True,40,False,,271,4045.0
chronotype_loh2018_ukb,Chronotype,sleep / brain-direct,Cluster396,396,Splat_396,Splatter,NEUR,VGLUT3,"Pons: 66.2%, Midbrain: 31.2%, Hypothalamus: 1.2%","Human DTg: 32.0%, Human PnEN: 26.2%, Human PAG: 17.4%","LMX1B, FEV, TPH2, SLC17A8, RLN3, GATA3, LINC01956, SLC6A4, GATA2, VWA5B1",16361,20.018,0.034745,5.2613,7.1279e-05,4.147038401809683,True,41,True,11.0,396,1608.0
chronotype_loh2018_ukb,Chronotype,sleep / brain-direct,Cluster386,386,Splat_386,Splatter,NEUR,VGLUT2,"Medulla: 98.2%, Pons: 1.2%, Midbrain: 0.6%","Human MoRF-MoEN: 55.1%, Human MoSR: 38.9%, Human MoAN: 4.2%","TACR3, LINC01876, AC074099.1, HOXB3, HSPD1P8, POU4F1, PGR-AS1, PGR, LINC02742, HOXA3",16361,17.663,0.032551,4.6448,7.1833e-05,4.143675995515207,True,42,False,,386,167.0
