# TOTAL_GENES = 16231
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE        TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
Cluster132     COVAR     86   16231       35.737     0.056885        8.148   5.8205e-06
Cluster141     COVAR     86   16231       23.055     0.033204       9.2697    0.0064445
Cluster132     COVAR     87   16231       38.851     0.061842       8.1499   9.4536e-07
Cluster149     COVAR     87   16231       15.732     0.021198       9.6476     0.051497
Cluster132     COVAR     88   16231       39.205     0.062404        7.494   8.5466e-08
Cluster155     COVAR     88   16231       29.354     0.038963       9.1525   0.00067174
Cluster132     COVAR     89   16231       36.641     0.058324       8.2691    4.729e-06
Cluster177     COVAR     89   16231       20.148     0.028237       9.6485     0.018402
Cluster132     COVAR     90   16231       38.229     0.060851       7.7059   3.5533e-07
Cluster178     COVAR     90   16231       20.478     0.032738       7.7965    0.0043185
Cluster132     COVAR     91   16231       42.291     0.067317        7.335   4.1667e-09
Cluster206     COVAR     91   16231       17.443     0.035089       5.7154    0.0011393
Cluster132     COVAR     92   16231       41.354     0.065826       7.3763   1.0552e-08
Cluster217     COVAR     92   16231       30.635     0.036719       10.076    0.0011843
Cluster132     COVAR     93   16231       41.936     0.066752       7.3445   5.7846e-09
Cluster225     COVAR     93   16231        24.08     0.037674       7.6042   0.00077301
Cluster132     COVAR     94   16231        41.91      0.06671       7.3371    5.713e-09
Cluster227     COVAR     94   16231       27.283     0.039867       7.9883   0.00031952
Cluster132     COVAR     95   16231       37.831     0.060217       7.3888   1.5506e-07
Cluster228     COVAR     95   16231       52.439     0.066564       9.3999    1.237e-08
Cluster132     COVAR     96   16231       39.859     0.063446       7.3967   3.6133e-08
Cluster229     COVAR     96   16231       32.817     0.045599       8.4315   4.9929e-05
Cluster132     COVAR     97   16231       40.965     0.065206       7.3546   1.3007e-08
Cluster230     COVAR     97   16231       31.257     0.046934       8.0992   5.7162e-05
Cluster132     COVAR     98   16231       38.327     0.061007       7.3946   1.1088e-07
Cluster231     COVAR     98   16231       46.107     0.061477       9.0787   1.9296e-07
Cluster132     COVAR     99   16231       40.815     0.064967        7.368    1.548e-08
